Interessado,UF,Tipo de interessado,Tipo de operação,Finalidade,Tipo de credor,Credor,Moeda,Valor,Número do Processo/PVL,Código IBGE,Status,Ano,Mes,Dia
Cardoso,SP,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,8000000.0,17944.102095/2020-08,3510708.0,Em Análise,2020,6,2
Careaçu,MG,Município,Operação Contratual Interna,Multissetorial,Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,2000000.0,PVL02.002577/2023-31,3113602.0,Em Análise,2023,7,17
Careaçu,MG,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,3000000.0,PVL02.002578/2023-85,3113602.0,Em Análise,2023,7,17
Cataguases,MG,Município,Operação Contratual Interna,Regularização de Dívida - Água e Esgoto,Empresa Estatal,Companhia de Saneamento de Minas Gerais,Real,1858643.76,17944.001024/2007-11,3115300.0,Em Análise,2022,1,19
Caucaia,CE,Município,Operação Contratual Interna,PNAFM,Instituição Financeira Nacional,Caixa Econômica Federal,Real,4500000.0,PVL02.001513/2020-70,2303709.0,Em Análise,2023,1,16
Caxambu,MG,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,3000000.0,17944.101598/2022-10,3115508.0,Em Análise,2023,6,27
Cerejeiras,RO,Município,Operação Contratual Interna,Regularização de Dívida - Energia Elétrica,Empresa Estatal,Centrais Elétricas de Rondônia S/A,Real,144954.93,17944.109796/2018-45,1100056.0,Em Análise,2018,12,27
Chupinguaia,RO,Município,Operação Contratual Interna,Regularização de Dívida - Energia Elétrica,Empresa Estatal,Centrais Elétricas de Rondônia S/A,Real,591713.21,17944.000033/2008-68,1100924.0,Em Análise,2008,9,11
Correntes,PE,Município,Operação Contratual Interna,Regularização de Dívida - Energia Elétrica,Empresa Não Estatal,Companhia Energética de Pernambuco,Real,740983.21,17944.000147/2008-16,2604700.0,Em Análise,2008,9,11
Correntes,PE,Município,Operação Contratual Interna,Regularização de Dívida - Energia Elétrica,Empresa Não Estatal,Companhia Energética de Pernambuco,Real,53488.23,17944.000157/2008-43,2604700.0,Em Análise,2008,9,15
Cruz Alta,RS,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,BADESUL Desenvolvimento S.A. - Agência de Fomento/RS,Real,5000000.0,PVL02.006536/2022-32,4306106.0,Em Análise,2023,4,14
Cruzeiro da Fortaleza,MG,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,1000000.0,PVL02.002775/2023-02,3120706.0,Em Análise,2023,7,28
